ISODateTimeUTC,Lat,Lon,SOG,COG,status,fixQ,nSat,HDOP,alt,id,validtime,batvolt,batperc,wifi_conn,wifi_signal_strength,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,pitch,roll,mag_x,mag_y,mag_z,heading,w_speed,w_angle,w_speed_kts,true_wind_dir
2025-05-28T15:04:09.50Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,0.25,0.99,-0.16,-30.37,38.95,-5.5,73.31,-122.62,,,,,,,,
2025-05-28T15:04:09.60Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,0.09,0.93,-0.08,-4.32,17.11,-4.62,82.62,-131.63,,,,,,,,
2025-05-28T15:04:09.70Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,0.14,0.92,-0.03,12.85,26.51,-4.63,81.15,-102.09,,,,,,,,
2025-05-28T15:04:09.80Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,0.14,0.94,-0.05,12.94,35.08,-10.61,81.01,-109.65,,,,,,,,
2025-05-28T15:04:09.90Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,0.18,0.92,-0.02,11.55,32.47,-6.34,78.86,-96.34,,,,,,,,
2025-05-28T15:04:10.00Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,0.2,0.88,0.07,19.16,57.5,-2.35,76.46,-70.71,,,,,,,,
2025-05-28T15:04:10.10Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,0.35,1.05,0.25,10.76,34.23,-41.16,67.72,-54.46,,,,,,,,
2025-05-28T15:04:10.20Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,0.25,0.97,0.17,26.41,44.62,-55.99,72.69,-55.78,,,,,,,,
2025-05-28T15:04:10.30Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,0.08,0.85,0.2,35.03,40.15,-60.53,75.78,-21.8,,,,,,,,
2025-05-28T15:04:10.40Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.12,0.92,0.39,-16.92,-28.24,-34.46,66.08,17.1,,,,,,,,
2025-05-28T15:04:10.50Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.01,0.79,0.29,-30.16,-0.64,-16.09,69.83,1.97,,,,,,,,
2025-05-28T15:04:10.60Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.09,0.91,0.35,-16.55,-65.66,-32.02,68.34,14.42,,,,,,,,
2025-05-28T15:04:10.70Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.15,1.09,0.12,-7.84,-72.13,-9.75,80.01,51.34,,,,,,,,
2025-05-28T15:04:10.80Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.34,1.21,0.01,-7.25,-123.72,-46.35,74.3,88.32,,,,,,,,
2025-05-28T15:04:10.90Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.48,1.13,-0.06,-69.59,-50.19,-54.76,66.82,97.13,,,,,,,,
2025-05-28T15:04:11.00Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.52,0.88,-0.15,-52.63,-8.67,-45.71,58.41,106.09,,,,,,,,
2025-05-28T15:04:11.10Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.37,0.7,0.0,4.32,-10.66,-9.25,62.14,90.0,,,,,,,,
2025-05-28T15:04:11.20Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.27,0.78,-0.19,12.82,5.0,11.21,67.06,125.13,,,,,,,,
2025-05-28T15:04:11.30Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.45,0.94,-0.38,10.73,-26.64,34.68,57.93,130.18,,,,,,,,
2025-05-28T15:04:11.40Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.38,1.14,-0.45,-10.46,-30.84,46.87,62.68,139.82,,,,,,,,
2025-05-28T15:04:11.50Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.18,0.85,-0.38,9.84,-55.9,15.49,63.68,154.65,,,,,,,,
2025-05-28T15:04:11.60Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.22,0.86,-0.39,3.67,-60.58,9.35,62.5,150.57,,,,,,,,
2025-05-28T15:04:11.70Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.21,0.74,-0.57,-2.63,-67.35,15.09,50.62,159.78,,,,,,,,
2025-05-28T15:04:11.80Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.24,0.77,-0.56,-1.17,-70.31,3.79,51.65,156.8,,,,,,,,
2025-05-28T15:04:11.90Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.23,0.76,-0.6,1.69,-52.13,10.19,49.79,159.03,,,,,,,,
2025-05-28T15:04:12.00Z,,,,,V,0,0,99.99,,boat1,1,4.12,98.1,0,,-0.17,0.77,-0.62,21.41,-39.36,14.81,50.14,164.67,,,,,,,,
